Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.10857964,,,22.04453087,,,56.64961243,,,
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30663872,,,20.54506493,,,47.44178772,,,
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85324192,,,10.39741135,,,46.81510162,,,
Adequacy of social insurance programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.94869792,33.28938943,33.56871479,33.25012736,34.19256926,31.66516161,32.6427772,33.26404321,33.56815013,35.62155104,36.57974778,,
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.90616118,33.97586676,34.32121852,33.34207672,34.86952702,32.64328735,33.63389482,33.61569893,33.90915214,35.96853028,36.37340239,,
Adequacy of social safety net programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15155531,16.96725417,18.38447075,15.5344319,18.20593787,17.06769091,16.98852964,15.89234646,15.57543989,17.35873008,18.29853544,,
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12443424,16.81985022,17.62897784,18.43230244,12.84898035,11.77386932,,,,,,,
"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1312,85.53043,,88.61333,92.21765,97.07957,,,,95.15386,96.41176,96.5881,94.12688,93.03258,92.49744,92.31421,90.843,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.72919,85.77811,,89.69792,93.35196,98.39569,,,,95.76167,96.88121,96.94188,94.47563,93.62911,92.76478,92.26242,90.65059,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.56435,85.29692,,87.62258,91.20347,95.92771,,,,94.63208,96.00639,96.28129,93.82384,92.51376,92.26444,92.3595,91.01168,,
Adjusted net national income (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.437298395,6.897203183,3.557603655,3.142346505,-0.875363583,8.326725565,14.78575369,19.84797641,10.33109101,14.85836541,14.63383158,16.87888591,9.447620411,-21.88968276,1.529280991,2.744693352,13.01681533,3.453035478,1.284754094,-1.377760748,-1.503076878,10.36699949,3.242936437,6.163273243,
Adjusted net national income (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180557346,3385299313,3618790284,3747532500,3865292956,3831457590,4150492548,4764174153,5709766315,6299647470,7235672111,8294528181,9694552130,10610456616,8287861323,8414606011,8645561143,9770937870,10108331822,10238199028,10097141141,9945373347,10976410151,11332368155,12030812970,
Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292582405,1399709763,1475577033,1667396481,1614496455,1663272189,1847306381,2062612583,2468375391,3204749963,4420408885,5854482719,8522166675,10965183925,7940891506,8414606011,9102808278,9610501399,10321316189,10641310040,9484439956,9315875161,10374084257,10879426490,11902307290,
Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.087734131,8.095864486,4.370491104,3.798960231,-0.247888844,8.997986963,15.41791224,20.48519442,10.96394538,15.60774766,15.5236047,17.90271571,10.38866236,-21.36158945,1.909417828,2.772589248,12.71544802,2.976219175,0.769393146,-1.821055552,-1.858433153,10.04232331,2.999254824,5.94952754,
Adjusted net national income per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.564913,1068.517415,1155.023137,1205.50332,1251.299912,1248.198079,1360.510779,1570.273137,1891.946643,2099.378639,2427.044359,2803.809132,3305.76711,3649.192093,2869.66666,2924.460587,3005.543866,3387.712234,3488.537976,3515.378548,3451.361551,3387.220304,3727.375918,3839.16942,4067.581862,
Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.7539927,441.796757,470.9655656,536.3667943,522.6561855,541.8546603,605.5378283,679.8376859,817.9029186,1067.993669,1482.727283,1978.99769,2905.99276,3771.191375,2749.528583,2924.460587,3164.501313,3332.086807,3562.042098,3653.790372,3241.930656,3172.824226,3522.837731,3685.722253,4024.134477,
"Adjusted net savings, excluding particulate emission damage (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.13381215,-13.78701186,-12.58581109,-14.5995522,-12.83845929,-17.431713,-10.85842905,-6.27090304,0.939485085,5.344586624,10.50249799,15.85250735,16.31465463,16.65099263,3.119562992,0.778639709,-1.097625326,1.948050569,2.463121498,0.99038205,5.252540081,4.466368749,3.834393703,1.565456156,-3.781921726,
"Adjusted net savings, excluding particulate emission damage (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-258350241.5,-226341223.7,-218577424,-285062362.4,-243987020,-343498168.2,-236938581.6,-154183091.1,27244470.58,199084114.1,536307575.6,1059974493,1583128817,2056950569,280970249.3,75672615.13,-115274641.3,215110682.5,290747177.4,120150465.8,576820568,481978596.1,457628240.4,198445797.4,-525707371.9,
"Adjusted net savings, including particulate emission damage (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.9654513,-14.48382558,-13.22653732,-15.21590474,-13.45289363,-18.00806884,-11.40446478,-6.761887592,0.484792057,4.907373223,10.08046037,15.43942812,15.92459167,16.25262596,2.61740792,0.252182294,-1.596347122,1.492628228,2.046522656,0.594717503,4.855596128,4.066299589,3.480463507,1.211525961,-4.103039728,
"Adjusted net savings, including particulate emission damage (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-270890018,-237780806.9,-229704898.2,-297096903.6,-255663966.5,-354855467.2,-248853466.3,-166254959.5,14058661.65,182798057,514756324.5,1032354040,1545278189,2007739056,235742556.8,24508503.01,-167651326.5,164821325.4,241571796.7,72149515.45,533229194.6,438805991.5,415387285.1,153579667.1,-570344493.8,
Adjusted savings: carbon dioxide damage (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.342518288,2.987161247,3.023149454,3.458228508,2.485729724,3.083921474,2.948837135,2.817022432,3.26498556,3.149410402,2.494431536,2.481296276,2.156349423,1.978811954,1.602727573,1.339230938,1.20392281,1.336087621,1.236673481,1.395422006,1.601700638,1.50473513,1.533880532,1.520816439,1.716031745,1.714483674,1.754915846,1.771030741,
Adjusted savings: carbon dioxide damage (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78073375.24,35846329.3,39637681.55,52144505.98,40808197.83,53558376.69,57577278.3,53535778.14,64337713.63,68722356.6,61330746.52,71956015.57,80323314.9,101047564.4,107166034.4,129955254.2,148724449.4,120337647.6,120186930.2,146549799.3,176865489.5,177619127.7,186086228.5,167012186.2,185181882.1,204620653.9,222462745.5,246182756.8,
Adjusted savings: consumption of fixed capital (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74650923,15.00192028,19.93030069,15.12861987,14.80482896,13.92992351,14.56727589,14.87099366,14.54996768,14.95751785,15.43384005,15.1737766,15.66744122,14.8781031,13.96569302,13.43524215,12.44295886,12.17631531,11.18167381,11.70292143,11.99738657,11.6183047,12.153604,12.00656699,12.1679086,13.28483916,13.59500279,12.9926871,13.67178847,13.43008119,
Adjusted savings: consumption of fixed capital (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342305545.9,309968233.2,211919914,181545435.6,194111837.5,210040770.4,239150809.8,258264124.7,284094203.8,284258424.1,304129363.8,331102509.1,385216371.9,431455537.6,520217524.5,686067462.6,831995767.5,1181555852,1381308060,1054049160,1165973948,1220175843,1342044243,1417256707,1476177690,1458907186,1467075543,1550654678,1733110796,1866853203,
Adjusted savings: education expenditure (% of GNI),,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.6743212,2.6743212,1.7,1.8385185,2.2196904,2.272569657,2.325448914,2.378328171,2.431207429,2.484086686,2.536965943,2.5898452,2.642724457,2.695603714,2.748482971,2.801362229,2.854241486,2.907120743,2.96,2.55,2.1,2.696449093,2.444871717,2.290595246,2.290595246,2.290595246,
Adjusted savings: education expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76084762.22,72316663.2,37215680.32,42000462.04,35064059.41,40324448.63,27908881.5,31929498.59,43340383.36,43188788.14,45823806.44,51896798.4,59776251.38,72036935.7,94501156.53,132249832.6,176705202.3,261573904.9,339528924.1,252310803.1,277391346.5,305311195.9,326853743.1,301002327,254766307.9,296117168.8,263833083.2,273378571.1,290368400.4,318405005.2,
Adjusted savings: energy depletion (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-09,0,0,
Adjusted savings: energy depletion (current US$),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641484481,0,0,
Adjusted savings: gross savings (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.445303624,2.576705709,-2.074090699,1.738884108,3.695035822,0.733396472,2.752101171,-0.899274012,5.254236036,9.902165411,15.81843715,18.92966312,23.32670688,27.25546933,27.13459716,26.34338711,13.48797423,12.57827861,10.71529974,13.55668292,13.97881074,12.70955939,17.71140007,17.40976646,16.33549232,15.20651721,10.07370246,
Adjusted savings: mineral depletion (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.055979339,0.035691953,0.303944171,0.34589063,0.172890351,0.164450283,0.053834264,0.088589843,0.159062293,0.167806258,0.442403119,0.003639376,0,0,0,0,0,0.019853464,1.296875838,1.478006887,0.636431081,0.476131321,0.035188582,0.259139246,0,0,0.412776266,0.862419524,
Adjusted savings: mineral depletion (current US$),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595231.197,428308.1517,3985129.564,5215472.603,2838339.012,2856003.403,1051136.517,1683595.462,3134379.641,3661650.923,10877393.56,105539.5863,0,0,0,0,0,1788145.542,126037736,155223016.3,70276986.87,56202602.15,4268983.389,28458011.71,0,0,52325780.5,119880932.1,
Adjusted savings: natural resources depletion (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34589063,0.172890351,0.164450283,0.053834264,0.088589843,0.159062293,0.167806258,0.442403119,0.003639376,0,0,0,0,0.055280825,0.130764423,1.41982034,1.706319106,0.813327715,0.554387131,0.117388204,0.349653479,0.077234896,0.084523093,0.50495198,0.945107496,
Adjusted savings: net forest depletion (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055280825,0.110910959,0.122944503,0.228312219,0.176896633,0.078255811,0.082199622,0.090514233,0.077234896,0.084523088,0.092175714,0.082687972,
Adjusted savings: net forest depletion (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6829017.762,9989437.619,11948442.8,23977771.41,19533556.35,9237325.919,9972235.328,9940042.45,8334638.035,10087683.99,11684698.42,11494070.93,
Adjusted savings: net national savings (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5739235,-12.22812325,-16.00401421,-12.82839179,-11.17595784,-13.8165712,-12.20541668,-16.33311406,-9.919540563,-5.765275814,0.94033405,4.963970104,9.891464739,14.81251047,14.95828185,15.16171329,1.785052807,0.580892045,-0.903004956,1.403078922,1.972243759,0.541650785,4.426560905,3.814763673,3.342805224,1.534728737,-3.356378734,
Adjusted savings: net national savings (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-246889797.9,-160327652.5,-241314711.5,-210603568.4,-194092542.5,-269774331,-231956434.6,-321849881.4,-216451372.4,-141751202.4,27269090.05,184906272.4,505105307.4,990435325.5,1451510166,1872975112,160774676.9,56454377.57,-94835250.21,154932972.1,232803906.2,65711605.1,486113639.6,411662033.1,398958007.8,194550621.4,-466554617.3,
Adjusted savings: particulate emission damage (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82836382,0.85547589,1.531359023,1.269864537,1.09219531,0.831639149,0.696813718,0.640726228,0.616352541,0.614434331,0.576355842,0.546035727,0.490984552,0.454693028,0.437213402,0.422037617,0.413079226,0.390062963,0.398366666,0.502155072,0.526457416,0.498721796,0.455422341,0.416598842,0.395664547,0.396943953,0.40006916,0.353930196,0.353930196,0.321118002,
Adjusted savings: particulate emission damage (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18007389.79,17675760.51,16283019.38,15238542.08,14320195.06,12539776.5,11439583.23,11127474.22,12034541.13,11676946.43,11357298.97,11914884.75,12071868.35,13185808.93,16286057.06,21551251.08,27620453.56,37850627.62,49211512.96,45227692.5,51164112.12,52376685.23,50289357.07,49175380.7,48000950.36,43591373.46,43172604.62,42240955.22,44866130.32,44637121.88,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",44.218,44.94,45.662,44.9044,44.1468,43.3892,42.6316,41.874,41.6992,41.5244,41.3496,41.1748,41,40.9598,40.9196,40.8794,40.8392,40.799,42.2192,43.6394,45.0596,46.4798,47.9,51.448,54.996,58.544,62.092,65.64,68.5254,71.4108,74.2962,77.1816,80.067,74.032,67.997,61.962,55.927,49.892,46.3922,42.8924,39.3926,35.8928,32.393,31.4714,30.5498,29.6282,28.7066,27.785,27.1964,26.6078,26.0192,25.4306,24.842,24.1716,23.5012,22.8308,22.1604,21.49,20.886,20.282,
Adolescents out of school (% of lower secondary school age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.059350014,6.210070133,5.438930035,,2.057450056,2.483809948,5.257770061,,,,,6.797510147,7.371409893,8.214790344,10.29481983,
"Adolescents out of school, female (% of female lower secondary school age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.002359867,,2.834510088,2.524329901,4.766880035,,,,,5.660779953,6.252520084,7.333759785,9.323829651,
"Adolescents out of school, male (% of male lower secondary school age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.900269985,,1.336840034,2.447139978,5.690989971,,,,,7.776090145,8.338700294,8.979060173,11.13945007,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,
Adults (ages 15-49) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,200,200,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,200,
Age dependency ratio (% of working-age population),81.82780447,84.78679238,87.04574859,88.59709004,89.51048889,89.77532333,89.36304747,88.14766256,86.26636909,83.9716632,81.47130818,78.13178696,75.15617431,72.40096013,69.65234623,66.85538892,64.70093021,62.38680867,60.15273571,58.26931502,56.81276537,55.79049885,55.17438411,54.85904104,54.67538215,54.54856276,54.49416889,54.52170947,54.69898079,55.04716994,55.46283989,56.49954371,57.61916033,58.71495511,59.65156063,60.35602464,59.99677807,59.20127235,58.0990301,56.91792829,55.82842984,54.4144228,53.35870122,52.46030916,51.41256736,50.06332191,48.88219095,47.36233294,45.7750758,44.51103238,43.7908193,43.48168307,43.51390069,43.83938509,44.31489394,44.83817579,45.43115767,46.09426742,46.81532686,47.60064755,
"Age dependency ratio, old (% of working-age population)",11.54260356,11.2732305,10.99129706,10.71817617,10.48297322,10.30122808,10.23102612,10.19207876,10.16724188,10.13427411,10.08478974,10.04107544,9.958875585,9.858261632,9.759994128,9.673193606,9.663482365,9.653533467,9.617765344,9.518710304,9.345264865,9.159439884,8.924319127,8.681367444,8.482904072,8.36231171,8.263428493,8.214664926,8.2527246,8.425920973,8.755852093,9.507774843,10.43775406,11.4778894,12.50635097,13.44018924,14.05060555,14.46668072,14.77650053,15.12852802,15.60740827,16.10594797,16.7410888,17.37445106,17.78660694,17.85753475,17.72435194,17.28841103,16.69679814,16.16055225,15.80814025,15.58909264,15.51563625,15.55326544,15.64276898,15.75462268,15.9664673,16.21156219,16.52231047,16.94996791,
"Age dependency ratio, young (% of working-age population)",70.28520091,73.51356187,76.05445153,77.87891387,79.02751567,79.47409524,79.13202135,77.9555838,76.09912721,73.83738909,71.38651845,68.09071153,65.19729873,62.5426985,59.89235211,57.18219532,55.03744785,52.7332752,50.53497036,48.75060471,47.4675005,46.63105897,46.25006499,46.1776736,46.19247807,46.18625105,46.2307404,46.30704454,46.44625619,46.62124896,46.7069878,46.99176886,47.18140627,47.23706571,47.14520965,46.9158354,45.94617252,44.73459163,43.32252957,41.78940027,40.22102157,38.30847484,36.61761242,35.0858581,33.62596042,32.20578716,31.15783901,30.07392191,29.07827766,28.35048013,27.98267905,27.89259043,27.99826444,28.28611964,28.67212497,29.08355311,29.46469037,29.88270524,30.29301639,30.65067963,
Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.762240947,8.824704606,8.906678866,8.921720208,8.945244957,9.104293033,9.17409388,9.162210339,9.198548224,9.22645673,9.231870229,9.229759561,9.235080188,,
Agricultural land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,,
Agricultural land (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700,11810,12000,12440,13060,13320,13280,13230,13230,13280,13910,14440,15050,16050,17564,17519,17488,17463,17350,16981,16830,16830,16807,16767,16768,16761,16773,,
"Agricultural machinery, tractors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14614,14000,13700,13350,13000,12700,12600,12513,13122,,,,,,,,,,,,,,,,,,,,
"Agricultural machinery, tractors per 100 sq. km of arable land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.4846336,323.3256351,314.9425287,306.8965517,288.8888889,279.1208791,276.9230769,278.0666667,291.6,312.3956044,319.5164835,312.5054945,314.1758242,314.967033,322.7202473,325.5916833,327.0870337,,,,,,,,,,,,
Agricultural methane emissions (% of total),,,,,,,,,,,73.61898618,73.45841729,72.75043411,71.88063629,71.3542674,71.17247278,71.09049657,71.70349893,73.42678182,74.97868023,76.42722837,77.2677699,77.8468596,77.83264024,77.76671785,77.67455937,77.22801028,77.39002806,50.09459773,47.23160541,43.27485707,43.88573219,43.9002113,41.77565071,38.83752089,40.05565834,37.75305721,36.27854852,34.79338517,34.10049944,35.20769859,36.74096926,37.17794625,37.2114705,38.03033705,36.68951958,36.22499586,36.59580407,35.91096269,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,0,970.2835141,1017.119937,1047.955453,1067.607151,1099.747646,1129.59255,1130.857856,1134.356523,1156.883004,1171.211972,1179.226277,1177.0663,1192.528258,1217.683873,1248.171375,1265.054479,1260.847664,1274.288724,1248.016732,1260.791028,1250.513545,1204.84328,1143.692695,1003.016663,985.3700451,972.3190617,967.0558863,948.0999593,887.9828589,893.1739216,903.2042165,930.9059381,968.2029473,1009.502541,1074.999734,1086.094166,1117.23321,1136.566866,1161.687323,,,,,,,,,,,,
Agricultural nitrous oxide emissions (% of total),,,,,,,,,,,81.01379422,81.80808017,81.36459475,81.43410418,81.14903206,79.84599684,79.11743602,79.32370125,79.1747546,78.85127034,78.80058617,78.52400588,78.67756703,79.48833119,79.74444759,79.91841054,79.68580507,79.72915956,79.06123742,78.44498415,72.81485564,71.92549249,75.00661733,78.22278492,78.55493729,79.59310984,79.65391812,79.5388649,78.28747248,78.42816001,77.13530293,77.44213061,77.97924419,76.61172851,81.04342544,81.11746532,82.12541579,83.68156582,81.14973275,,,,,,,,,,,,
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,0,427.6132467,456.7934134,472.7475789,492.4382984,511.0809048,531.8765418,525.3703145,540.6581319,550.0938437,557.3427783,574.6876317,576.5312606,585.6098772,615.9704991,629.3490017,645.3885567,647.6132314,655.1035692,638.4810809,611.9902696,586.2241019,561.0502729,487.365322,437.2615348,384.6427579,372.6419666,386.6385255,375.709305,368.1188124,351.9559363,356.1229718,362.3457661,372.7394616,361.6760793,476.4413312,473.2882065,515.5626647,554.3393278,593.4876778,,,,,,,,,,,,
Agricultural raw materials exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.610387531,,3.732436419,4.898266077,6.816144596,1.464508208,0.840332828,1.605086185,0.942920415,2.917158056,2.980832286,1.519981784,0.878378231,1.085101238,0.051371551,0.153805373,0.239583209,0.320868137,0.572657407,0.540729936,0.556840213,0.448222734,0.342323036,
Agricultural raw materials imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449663517,,1.246073958,0.932047573,1.042167073,1.099039831,0.990767688,0.951037802,0.806137601,0.812293662,0.79426194,1.626637913,1.081226798,0.905665793,1.110951824,1.189197063,1.089693839,1.514211781,1.884845259,1.900890311,1.133615144,0.987520996,1.32431536,
"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.99426012,13.94231166,11.98835603,
"Agriculture, forestry, and fishing, value added (annual % growth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.999996739,-8.700001288,-5.799997739,3.099995697,4.000002755,1.994688228,-4.499539797,12.85923609,1.400004972,-1.099999992,12.13713128,3.869017254,4.213302957,14.53794519,11.27815014,0.483597757,10.30000802,3.000000012,5.922553817,-15.90577663,14,9.500000009,7.6,6.100000006,13.2,-4.999999999,-5.100000003,-8.499999998,-3.999999998,
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (constant LCU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90602E+11,3.8279E+11,3.49487E+11,3.29217E+11,3.39423E+11,3.53E+11,3.60041E+11,3.43841E+11,3.88056E+11,3.93489E+11,3.89161E+11,4.36394E+11,4.53278E+11,4.72376E+11,5.41049E+11,6.0207E+11,6.04981E+11,6.67294E+11,6.87313E+11,7.2802E+11,6.12223E+11,6.97934E+11,7.64238E+11,8.2232E+11,8.72481E+11,9.87649E+11,9.38266E+11,8.90415E+11,8.14729E+11,7.8214E+11,
"Agriculture, forestry, and fishing, value added (current LCU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64238E+11,8.39821E+11,8.72631E+11,8.68671E+11,8.30553E+11,8.34355E+11,8.38914E+11,7.87519E+11,
"Agriculture, forestry, and fishing, value added (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902205026,2050215843,2098075398,1817614015,1728561492,1728457123,1736925087,1639144202,
